Extraído em 22/12/2022 às 13:35;;Usuário: Silvia;;Período 01/12/2022 a 22/12/2022;;;;
;;;;;;;;
Data da Operação;Ação;Assunto;Origem ID;Origem Nome;Destino ID;Destino Nome;Valor;Saldo Fechamento do Dia
01/12/2022;Descarga Entidade;Tarifa Mensalidade - 2022-12;1829910;EMPRESA LTDA;1;Brasil Pre-Pagos;BRL -70,00;6297,12
16/12/2022;Carga Entidade;CR VLR EM ANLSE-CARTAO LOST ID48767635 TK5095523;;BPP S.A.;1829910;EMPRESA LTDA;BRL 36,00;
16/12/2022;Carga Entidade;CR VLR EM ANLSE-CARTAO LOST ID48767900 TK5095523;;BPP S.A.;1829910;EMPRESA LTDA;BRL 36,00;
16/12/2022;Carga Entidade;CR VLR EM ANLSE-CARTAO LOST ID1700029495 TK5095523;;BPP S.A.;1829910;EMPRESA LTDA;BRL 5,00;
16/12/2022;Carga Entidade;CR VLR EM ANLSE-CARTAO LOST ID1700029498 TK5095523;;BPP S.A.;1829910;EMPRESA LTDA;BRL 36,00;
16/12/2022;Carga Entidade;CR VLR EM ANLSE-CARTAO LOST ID1700376550 TK5095523;;BPP S.A.;1829910;EMPRESA LTDA;BRL 23,00;
16/12/2022;Descarga entidade;TARIFA DE TED-REF.12/2022;1829910;EMPRESA LTDA;;CONTA EXTERNA;BRL -5,80;
16/12/2022;Descarga entidade;TED EFETUADA;1829910;EMPRESA LTDA;;EMPRESA LTDA;BRL -126,20;
16/12/2022;Descarga entidade;TARIFA DE TED-REF.12/2022;1829910;EMPRESA LTDA;;CONTA EXTERNA;BRL -4,00;6297,12
20/12/2022;Carga Entidade;EST TARIFA ENVIO TED-REF.12/2022;;CONTA EXTERNA;1829910;EMPRESA LTDA;BRL 4,00;
20/12/2022;Descarga entidade;TED EFETUADA;1829910;EMPRESA LTDA;;EMPRESA LTDA;BRL -6297,12;
20/12/2022;Descarga entidade;TARIFA DE TED-REF.12/2022;1829910;EMPRESA LTDA;;CONTA EXTERNA;BRL -4,00;
